ZIP prefix,City
352,"Birmingham, Alabama"
360,"Montgomery, Alabama"
361,"Montgomery, Alabama"
902,"Los Angeles, California"
946,"Oakland, California"
330,"Miami Gardens, Florida"
331,"Miami, Florida"
303,"Atlanta, Georgia"
311,"Atlanta, Georgia"
314,"Savannah, Georgia"
606,"Chicago, Illinois"
622,"East St. Louis, Illinois"
464,"Gary, Indiana"
701,"New Orleans, Louisiana"
212,"Baltimore, Maryland"
482,"Detroit, Michigan"
485,"Flint, Michigan"
392,"Jackson, Mississipi"
441,"Cleveland, Ohio"
375,"Memphis, Tennessee"
381,"Memphis, Tennessee"
900,"Los Angeles, California"
